n,car,trace,detection_id,cell,progress,action,reason,fault_id,tx_hash,status,gas_used,block,latency_s
1,0,PVS 1,pothole_PVS1_frame_000011_0,6g5dm4ng,0.0,refused,OwnerAlreadyContributed(),30,,0,0,0,0
2,1,PVS 4,pothole_PVS4_frame_000687_0,6g5dkvq1,0.0,refused,"InsufficientFree(free=0, needed=5)",,,0,0,0,0
3,2,PVS 7,pothole_PVS7_frame_000185_0,6g5dm4nu,0.0,confirm,,30,aebd9603d5859eae74a3286e82c88d12b6f092f2e045ed548ca3ed37a8aa896b,1,319464,16552,0.997
4,0,PVS 1,pothole_PVS1_frame_000013_0,6g5dm4ng,0.0004,refused,OwnerAlreadyContributed(),30,,0,0,0,0
5,0,PVS 1,pothole_PVS1_frame_000014_0,6g5dm4ng,0.0006,refused,OwnerAlreadyContributed(),30,,0,0,0,0
6,0,PVS 1,pothole_PVS1_frame_000016_0,6g5dm4ng,0.0009,refused,OwnerAlreadyContributed(),30,,0,0,0,0
7,0,PVS 1,pothole_PVS1_frame_000017_0,6g5dm4ng,0.0011,refused,OwnerAlreadyContributed(),30,,0,0,0,0
8,0,PVS 1,pothole_PVS1_frame_000018_0,6g5dm4ng,0.0013,refused,OwnerAlreadyContributed(),30,,0,0,0,0
9,1,PVS 4,pothole_PVS4_frame_000694_0,6g5dkvmu,0.0014,refused,OwnerAlreadyContributed(),31,,0,0,0,0
10,0,PVS 1,pothole_PVS1_frame_000019_0,6g5dm4ng,0.0015,refused,OwnerAlreadyContributed(),30,,0,0,0,0
11,0,PVS 1,pothole_PVS1_frame_000020_0,6g5dm4ng,0.0017,refused,OwnerAlreadyContributed(),30,,0,0,0,0
12,0,PVS 1,pothole_PVS1_frame_000024_0,6g5dm4ng,0.0024,refused,OwnerAlreadyContributed(),30,,0,0,0,0
13,0,PVS 1,pothole_PVS1_frame_000025_0,6g5dm4ng,0.0026,refused,OwnerAlreadyContributed(),30,,0,0,0,0
14,0,PVS 1,pothole_PVS1_frame_000028_0,6g5dm4ng,0.0032,refused,OwnerAlreadyContributed(),30,,0,0,0,0
15,0,PVS 1,pothole_PVS1_frame_000031_0,6g5dm4ng,0.0038,refused,OwnerAlreadyContributed(),30,,0,0,0,0
16,0,PVS 1,pothole_PVS1_frame_000035_0,6g5dm4ng,0.0045,refused,OwnerAlreadyContributed(),30,,0,0,0,0
17,1,PVS 4,pothole_PVS4_frame_000710_0,6g5dkvtb,0.0047,refused,OwnerAlreadyContributed(),33,,0,0,0,0
18,0,PVS 1,pothole_PVS1_frame_000038_0,6g5dm4ng,0.0051,refused,OwnerAlreadyContributed(),30,,0,0,0,0
19,0,PVS 1,pothole_PVS1_frame_000039_0,6g5dm4ng,0.0053,refused,OwnerAlreadyContributed(),30,,0,0,0,0
20,0,PVS 1,pothole_PVS1_frame_000040_0,6g5dm4ng,0.0054,refused,OwnerAlreadyContributed(),30,,0,0,0,0
21,0,PVS 1,pothole_PVS1_frame_000041_0,6g5dm4ng,0.0056,refused,OwnerAlreadyContributed(),30,,0,0,0,0
22,1,PVS 4,pothole_PVS4_frame_000715_0,6g5dkvtf,0.0057,refused,OwnerAlreadyContributed(),33,,0,0,0,0
23,0,PVS 1,pothole_PVS1_frame_000042_0,6g5dm4ng,0.0058,refused,OwnerAlreadyContributed(),30,,0,0,0,0
24,1,PVS 4,pothole_PVS4_frame_000716_0,6g5dkvtf,0.0059,refused,OwnerAlreadyContributed(),33,,0,0,0,0
